Expenditure category,"Relative
importance
Sep.
2019",2018-10-01,2018/11/01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
Other bakery products,0.204,265.846,263.329,262.921,268.355,268.695,269.252,269.025,272.823,271.098,270.770,271.636,272.291,271.611
"Fresh sweetrolls, coffeecakes, doughnuts(5)(7)",,303.683,303.814,303.659,305.611,309.316,311.198,310.535,314.211,310.221,310.067,310.597,311.474,312.167
"Crackers, bread, and cracker products(7)",,301.052,294.986,296.759,305.473,306.519,303.647,301.798,310.542,309.526,309.496,313.283,311.267,311.228
"Frozen and refrigerated bakery products, pies, tarts, turnovers(7)",,269.804,266.978,265.564,269.525,268.827,271.110,272.470,272.072,270.150,268.764,268.713,270.456,268.891
"Meats, poultry, fish, and eggs",1.578,247.966,247.954,247.327,248.169,248.597,249.062,249.203,250.356,249.231,250.033,249.277,249.740,250.592
"Meats, poultry, and fish",1.494,250.348,250.341,249.466,250.461,250.962,251.596,252.276,254.226,253.541,254.331,253.813,253.266,254.491
Meats,0.941,251.184,251.047,249.641,251.079,251.201,253.252,253.466,256.110,255.364,257.517,256.510,256.336,257.392
Beef and veal,0.427,300.588,300.666,299.352,301.930,302.155,304.659,306.389,309.092,308.185,309.866,308.120,307.493,308.032
Uncooked ground beef(5),0.169,264.614,266.721,264.493,266.971,266.449,264.782,267.757,269.603,266.123,268.957,270.224,269.095,272.685
Uncooked beef roasts(5)(6),0.062,222.095,221.141,223.785,226.437,228.250,233.319,232.365,239.138,245.025,243.876,237.463,236.045,229.078
Uncooked beef steaks(6),0.159,203.995,202.915,202.199,203.489,203.471,207.216,207.722,209.242,208.177,208.912,207.398,207.137,207.611
Uncooked other beef and veal(5)(6),0.038,244.111,243.230,239.414,241.675,242.825,244.924,247.583,245.272,246.474,248.456,246.027,248.732,248.555
Pork,0.297,209.880,209.330,205.951,208.362,206.798,209.921,208.776,213.819,213.406,216.545,214.593,215.449,216.288
"Bacon, breakfast sausage, and related products(6)",0.133,156.945,156.348,154.712,158.639,157.919,158.703,157.418,160.553,163.213,164.136,160.821,161.856,162.977
Bacon and related products(7),,292.518,294.519,295.937,296.811,295.941,299.521,297.722,303.253,308.388,310.537,301.375,302.182,307.207
Breakfast sausage and related products(6)(7),,143.426,140.695,136.557,144.631,143.050,142.733,141.188,144.378,145.855,147.004,145.690,147.807,147.205
Ham,0.056,203.382,200.186,192.080,195.364,190.120,203.141,198.315,204.382,202.671,208.138,212.864,214.492,217.184
"Ham, excluding canned(7)",,228.307,224.053,213.719,217.434,211.373,226.978,221.008,226.842,224.856,231.385,237.348,238.834,242.928
Pork chops(5),0.043,191.505,187.146,188.385,180.888,186.512,184.792,189.769,194.708,186.744,194.467,193.160,191.184,186.006
"Other pork including roasts, steaks, and ribs(6)",0.065,123.877,126.857,124.015,125.793,122.984,124.229,123.497,126.741,125.740,126.525,124.773,125.443,126.783
Other meats,0.217,222.799,222.950,224.322,222.634,225.013,224.747,224.709,223.669,222.726,224.009,225.478,224.495,226.540
Frankfurters(7),,232.506,233.452,237.148,233.952,236.069,237.054,234.757,227.986,227.832,224.102,233.618,226.115,236.463
Lunchmeats(6)(7),,142.581,142.491,143.242,142.249,143.894,143.363,143.484,144.135,144.319,145.148,145.097,144.625,144.962
Lamb and organ meats(5)(7),,,,,,,,,,,,,,
Lamb and mutton(5)(6)(7),,,,,,,,,,,,,,
Poultry(5),0.306,231.500,230.461,230.602,230.124,232.813,230.655,232.401,232.053,232.471,230.398,230.637,229.692,231.472
Chicken(5)(6),0.249,150.447,149.241,150.004,149.588,150.587,149.637,150.926,150.567,150.442,149.390,149.255,147.686,149.301
Fresh whole chicken(5)(7),,248.468,246.869,243.174,243.507,246.826,246.103,248.703,248.906,253.919,247.494,247.636,242.076,247.066
Fresh and frozen chicken parts(5)(7),,224.260,222.784,225.697,223.758,224.745,223.317,225.309,224.287,221.976,222.480,221.725,220.487,222.679
Other uncooked poultry including turkey(6),0.057,144.249,145.983,143.058,143.231,148.266,144.893,145.284,145.666,147.709,145.093,146.537,150.233,149.289
Fish and seafood,0.247,296.172,298.392,298.167,299.646,298.350,297.251,298.330,301.048,298.810,298.232,298.622,297.023,298.194
Fresh fish and seafood(6),0.126,182.768,184.765,185.668,187.271,186.396,186.845,185.446,186.930,185.953,184.897,185.321,183.794,185.344
Processed fish and seafood(6),0.121,149.057,149.641,148.642,148.799,148.212,146.699,148.998,150.530,149.061,149.364,149.404,149.059,148.945
Shelf stable fish and seafood(5)(7),,213.912,215.220,213.977,214.142,212.916,209.400,217.159,218.922,217.820,215.587,213.801,217.929,216.617
Frozen fish and seafood(7),,308.751,309.394,306.404,307.854,306.689,303.922,306.897,311.132,306.857,309.332,310.576,306.704,309.876
Eggs,0.084,217.297,217.225,220.112,218.796,218.185,216.250,208.727,198.552,191.161,192.124,187.986,202.825,198.374
Dairy and related products,0.724,216.800,215.896,216.652,217.079,216.595,217.531,217.510,217.841,217.433,217.626,218.758,219.771,220.738
Milk(6),0.202,137.909,138.537,137.852,138.346,137.925,139.408,139.626,139.377,139.485,140.072,141.062,141.841,143.000
Fresh whole milk(7),,197.351,196.414,196.199,196.967,196.940,198.336,199.559,197.641,199.557,200.314,200.148,200.912,204.033
Fresh milk other than whole(6)(7),,142.402,144.000,143.553,143.629,142.790,144.605,144.077,144.586,144.136,144.551,146.305,146.768,147.528
Cheese and related products(5),0.234,228.261,227.412,227.539,226.001,224.692,225.253,225.237,226.827,228.269,227.813,229.276,229.735,232.490
Ice cream and related products,0.103,222.092,221.662,224.125,225.417,226.736,223.143,224.369,220.539,214.387,213.859,216.612,221.951,225.138
Other dairy and related products(5)(6),0.185,146.815,144.556,146.323,147.667,147.447,149.103,148.355,149.642,149.544,149.952,149.596,149.027,146.819
Fruits and vegetables,1.254,298.531,296.362,301.134,304.605,304.621,305.399,303.503,302.352,298.611,299.350,298.600,297.309,301.318
Fresh fruits and vegetables,0.986,347.341,345.846,352.281,356.574,355.034,355.517,353.656,351.035,345.165,346.778,345.918,344.181,350.148
Fresh fruits,0.518,366.018,360.004,361.791,367.988,365.288,365.345,366.358,364.403,356.912,355.842,353.387,354.560,363.135
Apples,0.075,325.758,322.325,327.632,333.290,335.377,340.703,343.561,344.742,347.240,354.683,359.976,336.943,333.259
Bananas(5),0.077,195.409,193.453,196.258,194.690,195.987,198.299,194.449,196.124,197.120,194.956,195.099,194.269,195.904
Citrus fruits(6),0.155,279.086,265.781,259.004,253.891,251.445,256.720,252.581,255.828,257.814,262.994,262.815,265.105,271.388
"Oranges, including tangerines(7)",,557.805,529.230,514.410,498.808,493.842,503.337,484.468,501.278,513.497,537.475,536.257,527.143,546.346
Other fresh fruits(6),0.211,117.226,117.500,119.757,125.785,123.936,121.242,123.774,120.773,113.872,111.029,108.536,111.616,116.389
Fresh vegetables,0.468,326.479,329.680,340.909,343.209,342.879,343.803,338.968,335.667,331.504,335.892,336.692,331.944,335.179
Potatoes,0.082,347.968,329.364,330.640,351.356,355.805,358.300,353.555,363.802,355.212,372.192,378.883,377.340,378.772
Lettuce,0.060,297.784,298.639,338.563,313.112,323.848,337.276,330.310,311.239,301.371,326.245,317.359,307.661,321.697
Tomatoes(5),0.074,322.017,346.080,365.078,359.433,343.612,338.164,329.053,315.952,320.403,319.464,323.458,323.252,320.159
Other fresh vegetables,0.251,333.247,337.035,341.438,348.098,348.228,347.396,344.333,344.173,340.094,337.188,337.844,332.013,334.928
Processed fruits and vegetables(6),0.267,154.149,151.306,152.290,153.654,156.276,157.385,155.829,157.380,157.995,157.113,156.704,156.430,156.318
Canned fruits and vegetables(6),0.150,158.735,154.905,157.383,160.057,164.271,165.811,163.448,166.625,165.988,163.496,164.800,164.878,163.841
Canned fruits(6)(7),,155.784,152.882,154.998,155.079,158.787,162.270,158.566,159.263,158.810,157.658,158.727,157.757,156.939
Canned vegetables(6)(7),,165.824,162.420,165.133,168.814,173.643,174.131,172.648,177.084,176.916,172.858,174.810,175.695,174.198
Frozen fruits and vegetables(6),0.075,145.115,144.210,142.188,142.085,143.653,144.756,144.172,143.271,145.905,146.046,143.953,142.756,144.030
Frozen vegetables(7),,197.608,196.304,195.265,194.077,197.524,199.365,199.530,198.061,203.199,203.310,200.210,198.000,199.043
Other processed fruits and vegetables including dried(6),0.043,154.698,151.435,153.226,153.081,152.484,152.187,151.435,152.311,153.181,155.622,152.814,153.146,153.427
"Dried beans, peas, and lentils(5)(6)(7)",,186.662,183.797,186.211,178.921,178.473,180.199,181.943,179.163,180.016,183.371,180.610,178.382,183.614
Nonalcoholic beverages and beverage materials,0.861,169.570,167.891,168.339,171.354,172.488,172.060,170.727,171.260,170.230,169.685,170.067,170.630,170.842
Juices and nonalcoholic drinks(6),0.614,131.828,130.698,130.754,133.950,135.211,134.839,133.200,133.626,132.342,131.862,132.235,133.147,133.558
Carbonated drinks,0.259,167.657,163.948,164.118,170.574,172.314,172.608,170.358,171.155,167.821,166.409,168.619,170.026,168.958
Frozen noncarbonated juices and drinks(5)(6),0.008,179.818,181.363,181.504,180.513,181.473,183.852,182.031,182.191,180.126,179.657,180.059,176.154,175.268
Nonfrozen noncarbonated juices and drinks(6),0.347,118.956,119.084,119.081,120.790,121.868,121.083,119.684,119.941,119.684,119.670,119.094,119.869,121.102
Beverage materials including coffee and tea(6),0.248,116.890,115.353,116.297,116.528,116.486,116.274,116.664,117.006,117.343,117.091,117.190,116.549,116.160
Coffee,0.158,194.807,191.876,193.056,193.793,193.654,193.567,193.260,193.651,195.992,193.813,195.274,192.726,191.857
Roasted coffee(7),,202.757,200.631,201.866,201.823,201.082,200.975,200.744,200.751,203.898,202.175,203.127,200.697,200.050
Instant coffee(5)(7),,188.862,183.175,186.794,187.873,189.343,189.013,191.131,191.445,193.084,190.010,192.993,187.575,184.367
Other beverage materials including tea(5)(6),0.090,129.261,127.999,129.512,129.348,129.384,128.834,130.401,130.993,129.252,131.062,129.631,130.681,130.514
Other food at home,1.808,210.224,210.407,209.739,210.006,211.168,211.550,211.078,210.815,212.056,210.941,210.841,211.490,211.492
Sugar and sweets(5),0.282,215.318,216.037,214.957,217.745,218.293,220.618,217.498,217.744,220.473,219.552,219.893,223.481,223.642
Sugar and sugar substitutes,0.042,186.128,181.639,178.289,184.530,185.657,185.858,186.288,188.783,188.003,191.133,190.558,192.551,190.999
Candy and chewing gum(5)(6),0.186,146.172,147.521,147.435,148.139,148.168,149.801,147.353,147.628,150.379,148.924,149.477,152.423,152.782
Other sweets(6),0.053,151.062,151.784,150.265,154.012,155.203,157.807,154.781,153.091,153.811,153.607,153.253,154.657,154.967
Fats and oils,0.208,228.868,225.395,225.233,228.536,228.762,229.087,224.656,228.817,227.018,226.630,225.314,226.372,226.629
Butter and margarine(6),0.060,207.033,204.314,202.343,207.510,208.816,210.390,203.329,207.100,206.666,207.019,206.861,206.818,206.614
Butter(7),,246.214,242.323,237.725,248.423,251.979,253.069,240.114,248.875,244.773,248.104,248.507,248.227,247.830
Margarine(7),,300.947,296.854,296.522,299.382,295.990,299.739,299.134,297.641,299.748,298.649,294.858,299.993,298.217
Salad dressing(6),0.051,130.236,128.074,129.437,128.976,129.304,129.083,126.534,129.071,128.635,127.825,126.911,128.891,129.250
Other fats and oils including peanut butter(6),0.098,158.307,155.828,155.638,158.394,157.920,157.813,156.166,158.934,156.772,156.552,155.272,155.596,155.840
Peanut butter(5)(6)(7),,160.706,157.808,159.866,155.843,156.855,155.218,153.091,152.620,157.529,155.000,150.341,146.200,150.416
Other foods,1.318,224.656,225.314,224.596,223.868,225.412,225.417,226.096,225.006,226.512,225.144,225.131,225.139,225.067
Soups,0.081,238.408,233.887,237.742,238.488,241.267,243.139,245.588,251.975,252.637,251.256,247.704,243.986,238.563
Frozen and freeze dried prepared foods(5),0.226,166.665,166.001,166.353,164.873,167.445,165.470,168.036,166.817,167.524,167.637,165.816,164.947,167.453
Snacks(5),0.303,255.975,257.227,252.293,251.247,254.084,254.320,253.543,251.952,253.748,249.846,251.208,251.931,250.993
"Spices, seasonings, condiments, sauces",0.268,242.472,240.595,239.480,243.805,244.427,245.227,242.041,241.744,243.693,242.717,244.210,245.026,243.518
Salt and other seasonings and spices(6)(7),,155.309,153.155,151.442,155.350,157.818,155.606,153.657,153.909,156.180,157.283,154.906,156.424,155.080
"Olives, pickles, relishes(5)(6)(7)",,,,142.280,,,,,141.286,141.383,139.153,142.800,141.217,144.982
Sauces and gravies(6)(7),,139.646,139.087,139.210,140.588,140.177,142.013,140.373,139.338,140.151,139.393,140.577,140.420,140.213
Other condiments(7),,272.619,271.146,271.448,274.456,277.290,280.247,279.160,276.898,281.894,276.772,279.078,287.716,276.271
Baby food(5)(6),0.050,163.715,168.352,168.788,167.895,168.237,166.239,168.373,167.274,168.992,168.936,169.998,168.867,170.783
Other miscellaneous foods(5)(6),0.389,130.588,132.425,132.785,130.856,130.990,131.520,132.682,131.241,132.198,131.543,131.545,131.899,131.944
Prepared salads(5)(8)(7),,127.179,127.953,127.224,126.934,126.068,126.641,127.190,123.735,124.551,125.949,125.396,125.510,128.071
Food away from home(5),6.069,277.513,278.306,279.419,280.380,281.373,281.887,282.798,283.394,284.316,284.891,285.507,286.246,286.791
Full service meals and snacks(5)(6),3.023,172.018,172.444,173.266,173.624,174.151,174.395,175.083,175.517,176.493,176.832,177.263,177.743,178.117
Limited service meals and snacks(5)(6),2.574,177.446,178.024,178.652,179.659,180.525,180.931,181.466,181.813,181.897,182.264,182.556,182.911,183.223
Food at employee sites and schools(6),0.181,180.017,179.975,180.302,180.342,180.402,180.329,180.409,179.958,180.117,180.424,181.210,182.622,182.855
Food at elementary and secondary schools(5)(9)(7),,148.639,148.652,148.786,148.889,148.726,148.740,148.747,148.747,148.829,,150.105,151.915,152.240
Food from vending machines and mobile vendors(5)(6),0.093,162.001,162.804,163.255,163.357,163.208,163.700,163.756,165.770,166.172,167.061,168.517,168.777,168.681
Other food away from home(5)(6),0.197,193.155,194.208,194.397,194.422,194.360,195.182,195.170,194.857,196.262,196.711,196.744,197.715,198.339
,,,,,,,,,,,,,,
Energy,7.521,225.757,215.910,205.905,200.563,202.740,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351
Energy commodities,4.180,259.561,241.633,218.497,207.727,213.270,231.228,253.547,259.310,246.818,248.629,238.431,236.493,240.279
Fuel oil and other fuels,0.175,304.893,299.139,281.486,280.482,287.643,289.333,288.823,285.711,274.837,274.328,269.636,272.271,277.631
Fuel oil,0.107,316.185,305.370,276.103,274.051,285.668,287.496,291.424,289.711,277.244,278.773,271.766,276.664,282.534
"Propane, kerosene, and firewood(10)",0.067,340.109,342.448,342.550,343.256,343.674,345.425,336.804,330.599,320.618,316.335,314.970,313.998,319.414
Motor fuel,4.005,255.126,236.934,213.838,202.818,208.242,226.616,249.550,255.584,243.163,245.042,234.746,232.658,236.346
Gasoline (all types),3.920,253.793,235.381,212.152,201.194,206.749,225.282,248.499,254.551,242.043,244.000,233.625,231.496,235.168
"Gasoline, unleaded regular(7)",,249.148,230.284,206.779,195.946,201.919,220.853,243.787,249.647,237.023,239.252,228.686,226.347,229.656
"Gasoline, unleaded midgrade(11)(7)",,270.093,254.424,232.511,221.554,224.958,241.846,265.450,271.837,260.473,261.848,252.274,251.354,255.534
"Gasoline, unleaded premium(7)",,264.774,250.906,231.865,221.025,223.316,237.371,260.494,267.248,256.572,256.453,248.390,247.802,253.672
Other motor fuels(6),0.085,241.390,237.781,226.865,216.239,214.546,220.913,225.220,228.784,223.589,221.544,217.549,217.838,221.182
Energy services,3.341,201.798,200.148,203.800,204.038,202.690,202.461,201.341,202.101,206.219,206.651,205.900,204.660,202.556
Electricity,2.627,211.937,209.339,210.637,210.920,210.939,210.937,210.525,212.326,217.947,219.083,217.811,216.938,212.829
Utility (piped) gas service,0.714,168.770,169.821,179.999,180.106,174.950,174.089,171.004,168.826,168.628,167.074,167.803,165.562,169.138
,,,,,,,,,,,,,,
All items less food and energy,79.234,259.063,259.105,259.083,260.122,261.114,261.836,262.332,262.590,263.177,263.566,264.169,264.522,265.059
Commodities less food and energy commodities,19.318,144.134,143.542,142.840,143.892,144.609,144.994,144.851,144.457,144.461,144.448,144.806,144.596,144.577
Household furnishings and supplies(12),3.331,90.090,89.788,89.780,90.692,91.148,91.182,90.671,90.817,90.990,90.958,90.476,90.875,90.869
Window and floor coverings and other linens(5)(6),0.252,58.590,56.957,56.183,58.335,57.187,57.440,56.641,56.310,55.642,56.465,56.929,57.027,55.923
Floor coverings(5)(6),0.055,111.687,112.438,112.693,113.140,112.021,114.085,114.065,114.559,115.985,116.775,115.552,113.535,111.861
Window coverings(5)(6),0.045,63.212,62.341,61.021,62.984,63.763,62.941,61.761,59.697,60.287,61.605,62.813,63.276,60.525
Other linens(5)(6),0.153,45.671,43.684,42.938,45.195,43.747,43.944,43.176,43.104,41.946,42.610,43.121,43.433,42.825
Furniture and bedding,0.888,111.770,111.217,111.923,112.313,113.192,113.775,113.170,113.765,114.718,114.901,112.971,113.987,114.079
Bedroom furniture(5),0.321,130.144,128.242,128.182,129.628,129.516,128.854,128.378,128.443,129.652,130.640,129.329,130.356,130.971
"Living room, kitchen, and dining room furniture(5)(6)",0.436,85.396,85.470,86.401,86.550,87.085,87.419,86.921,87.927,89.049,89.306,87.940,89.128,88.449
Other furniture(5)(6),0.120,67.811,67.791,68.355,67.679,70.147,72.632,72.006,71.744,71.163,69.875,67.086,66.801,68.134
Infants' furniture(5)(9)(7),,90.113,90.884,90.611,,,,,104.685,104.670,104.376,105.306,103.475,103.568
Appliances(6),0.214,78.026,76.546,76.242,78.616,78.207,77.511,78.046,77.570,77.735,76.979,76.687,77.878,77.442
Major appliances(6),0.078,85.095,83.082,85.178,88.056,86.279,85.227,86.749,86.593,85.377,83.932,83.502,84.541,82.320
Laundry equipment(7),,98.160,97.213,97.637,97.235,93.740,93.839,96.969,98.636,97.945,95.928,91.073,91.065,92.061
Other appliances(6),0.133,67.220,66.125,64.724,66.635,66.896,66.428,66.449,65.868,66.655,66.297,66.098,67.249,67.689
Other household equipment and furnishings(6),0.484,51.008,51.194,50.101,50.850,51.833,51.249,50.530,51.134,51.077,50.419,50.308,50.204,50.775
"Clocks, lamps, and decorator items(5)",0.263,37.036,38.067,36.639,37.267,38.238,37.759,37.111,37.493,36.758,36.251,36.608,36.389,37.263
Indoor plants and flowers(13),0.091,131.433,129.401,130.736,130.166,134.126,133.528,130.462,132.066,133.429,132.499,130.853,131.222,131.393
Dishes and flatware(5)(6),0.056,47.619,46.480,45.500,46.719,46.262,44.549,45.612,47.882,50.789,50.486,50.339,50.511,49.288
Nonelectric cookware and tableware(6),0.074,85.274,82.131,82.067,83.891,84.148,84.308,82.907,82.298,82.900,81.096,78.607,78.754,79.218
"Tools, hardware, outdoor equipment and supplies(6)",0.666,89.290,89.094,89.619,90.537,91.566,91.232,90.607,90.372,90.425,90.838,91.195,91.687,91.484
"Tools, hardware and supplies(5)(6)",0.196,98.372,97.426,98.982,99.876,100.679,99.988,99.355,99.760,100.294,100.125,99.996,100.587,100.345
Outdoor equipment and supplies(6),0.309,85.011,85.210,85.158,86.094,87.273,87.154,86.539,85.853,85.628,86.380,87.022,87.499,87.287
Housekeeping supplies(5),0.826,187.170,188.132,189.318,189.417,189.213,190.492,190.376,190.238,190.603,190.412,189.178,189.269,189.530
Household cleaning products(5)(6),0.327,119.706,119.621,119.967,120.030,120.191,121.192,121.315,121.241,121.075,120.929,120.550,120.589,120.419
Household paper products(5)(6),0.222,169.634,172.862,174.430,173.170,172.648,175.682,174.780,175.901,176.800,175.352,174.273,175.070,175.848
Miscellaneous household products(5)(6),0.277,118.502,118.647,119.608,120.403,120.118,119.700,119.831,119.052,119.438,120.034,118.756,118.449,118.713
Apparel,3.051,129.108,124.935,120.526,122.422,125.631,125.785,125.542,124.429,123.749,122.161,123.641,127.009,126.154
Men's and boys' apparel,0.769,122.947,119.156,114.640,117.188,123.010,120.101,118.100,118.169,116.960,116.315,117.794,122.579,122.583
Men's apparel,0.593,124.771,120.083,114.875,117.153,124.129,122.194,120.290,120.434,119.096,118.979,120.150,124.012,124.179
"Men's suits, sport coats, and outerwear",0.112,111.617,105.268,101.687,104.990,111.946,111.910,106.505,106.527,103.260,106.183,110.312,114.314,116.754
"Men's underwear, nightwear, swimwear, and accessories",0.155,160.088,159.858,153.709,149.069,156.856,155.795,154.817,157.346,155.388,152.519,157.029,161.218,159.172
Men's shirts and sweaters(6),0.169,81.719,77.078,71.809,73.785,80.230,78.759,76.941,75.668,75.036,75.207,75.600,78.878,79.565
Men's pants and shorts,0.149,118.631,114.118,111.041,117.245,121.030,117.141,118.065,118.821,118.911,118.094,115.176,117.721,116.864
Boys' apparel,0.176,113.969,113.081,110.849,114.172,116.233,110.359,108.109,107.941,107.168,104.890,107.293,114.831,114.325
Women's and girls' apparel,1.230,113.720,109.128,103.815,104.835,107.606,109.631,110.148,108.082,106.794,104.106,105.731,109.598,107.698
Women's apparel,1.050,116.284,111.743,106.242,107.441,109.900,112.666,113.256,111.179,108.908,106.272,108.560,112.179,110.066
Women's outerwear,0.073,113.513,110.024,104.252,104.761,107.268,106.212,105.705,102.921,105.431,103.955,104.273,108.463,108.532
Women's dresses,0.123,132.284,122.327,114.983,111.501,121.247,126.618,124.648,121.222,115.412,107.440,109.859,119.459,120.680
Women's suits and separates(6),0.552,81.056,77.076,72.709,74.583,76.719,77.967,78.256,76.659,75.128,73.199,75.836,78.163,75.001
"Women's underwear, nightwear, swimwear, and accessories(6)",0.290,105.651,105.145,102.025,102.440,100.976,105.303,107.395,106.466,104.327,103.742,103.661,105.279,105.826
Girls' apparel,0.180,100.905,96.047,91.676,91.797,96.147,94.439,94.585,92.578,96.239,93.289,91.576,96.695,95.866
Footwear,0.673,137.220,135.203,132.967,135.405,137.072,136.930,136.131,135.329,135.425,135.102,137.518,139.167,139.211
Men's footwear(5),0.217,140.433,139.776,139.105,142.980,141.710,139.937,137.391,138.904,138.280,137.726,140.848,142.927,142.000
Boys' and girls' footwear,0.160,155.478,153.667,150.782,153.994,157.706,158.701,157.813,153.258,152.337,156.548,159.078,158.381,160.484
Women's footwear,0.296,125.750,122.781,119.831,120.971,123.645,124.071,124.457,123.787,124.791,122.655,124.535,126.906,126.687
Infants' and toddlers' apparel,0.135,124.719,121.967,121.495,117.239,121.822,122.309,122.149,122.086,118.436,116.929,118.385,120.606,119.036
Jewelry and watches(10),0.244,176.395,167.880,163.222,170.996,168.375,167.946,171.443,171.410,177.958,177.463,173.751,171.672,173.276
Watches(5)(10),0.095,152.479,138.193,133.467,136.069,129.565,139.287,142.682,139.609,141.407,141.049,140.258,136.326,141.002
Jewelry(10),0.149,169.580,167.058,163.152,173.992,174.938,166.273,169.331,171.788,181.241,180.707,175.162,174.910,173.761
Transportation commodities less motor fuel(12),6.477,103.313,103.863,104.027,104.628,104.825,105.405,105.399,104.925,105.370,105.723,105.861,104.164,104.030
New vehicles,3.637,145.588,145.826,146.126,147.059,147.226,147.788,147.840,147.659,147.417,147.035,146.456,145.854,145.726
New cars and trucks(6)(7),,100.897,101.060,101.269,101.918,102.034,102.412,102.448,102.328,102.156,101.885,101.482,101.069,100.982
New cars(7),,141.642,141.912,142.124,142.955,143.002,143.448,143.454,143.480,143.398,143.109,142.652,141.934,141.970
New trucks(14)(7),,154.787,155.035,155.332,156.401,156.770,157.419,157.481,157.211,156.717,156.326,155.674,155.155,154.989
Used cars and trucks,2.349,136.450,138.010,138.069,138.800,139.301,140.513,140.458,138.888,140.823,142.756,144.026,138.653,138.407
Motor vehicle parts and equipment(5),0.380,143.990,144.493,145.105,145.591,145.466,145.823,145.555,146.445,146.554,145.808,146.368,147.314,146.957
Tires(5),0.225,122.645,122.769,123.969,124.369,124.682,124.866,124.417,125.042,125.214,124.688,124.876,125.825,124.964
Vehicle accessories other than tires(5)(6),0.155,173.209,174.434,173.793,174.403,173.402,174.076,174.201,175.542,175.514,174.395,175.655,176.500,177.202
Vehicle parts and equipment other than tires(5)(7),,164.015,164.579,163.208,164.328,164.036,163.997,165.557,166.547,166.130,164.020,165.419,166.075,166.906
"Motor oil, coolant, and fluids(5)(7)",,382.287,398.701,404.021,400.581,381.914,401.644,380.713,385.200,387.792,403.074,399.012,404.340,394.692
Medical care commodities,1.676,379.662,380.658,378.190,379.777,377.949,379.568,381.256,381.066,379.462,380.278,382.519,379.530,383.498
Medicinal drugs(12),1.620,124.269,124.587,123.765,124.271,123.678,124.292,124.777,124.643,124.074,124.437,125.196,124.202,125.508
Prescription drugs,1.281,524.370,525.494,522.105,525.103,522.971,526.097,528.008,526.439,522.957,524.829,526.629,522.518,529.635
Nonprescription drugs(5)(12),0.339,97.104,97.505,96.808,96.590,95.867,95.966,96.442,97.048,97.370,97.411,99.000,98.163,98.046
Medical equipment and supplies(5)(12),0.056,101.048,101.516,101.176,101.924,101.295,99.755,101.789,103.438,104.034,102.009,102.003,101.577,102.459
Recreation commodities(12),1.758,79.474,79.268,80.097,80.573,80.156,80.108,80.044,79.928,79.875,79.606,79.605,79.698,79.996
Video and audio products(12),0.206,42.273,41.514,40.871,41.313,40.945,40.253,40.282,40.030,39.699,39.326,38.978,38.499,38.362
