Indent Level,Expenditure category,"Relative
importance
Sep.
2021",2020-10-01,2020/11/01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01
7,"Other pork including roasts, steaks, and ribs(5)",0.083,139.910,137.979,136.298,139.390,138.639,140.313,145.479,148.105,155.707,163.539,159.243,159.638,163.543
6,Other meats,0.225,237.538,237.596,238.234,237.845,238.241,238.561,240.101,236.945,236.477,240.721,237.671,242.044,246.114
7,Frankfurters(6),,261.006,250.787,256.072,254.535,256.436,258.091,259.303,247.524,246.324,255.790,239.827,246.090,252.337
7,Lunchmeats(4)(5)(6),,152.886,152.397,152.767,152.624,151.742,151.269,152.800,151.955,151.389,153.080,152.385,155.074,157.588
6,Poultry(4),0.340,246.904,246.865,244.527,245.840,244.068,246.176,248.794,253.544,255.917,260.680,264.382,263.135,265.358
7,Chicken(4)(5),0.278,157.681,159.378,158.208,157.889,156.594,158.667,160.017,162.973,164.003,167.637,169.947,169.901,171.628
8,Fresh whole chicken(4)(6),,258.094,261.893,259.196,258.407,258.550,263.332,263.308,268.738,270.098,274.126,276.794,276.957,275.654
8,Fresh and frozen chicken parts(4)(6),,234.952,237.487,236.543,235.836,232.716,235.846,238.368,242.774,244.606,251.115,255.065,255.061,258.894
7,Other uncooked poultry including turkey(5),0.062,166.231,158.531,155.517,161.560,161.092,159.274,162.468,166.015,169.780,170.346,173.080,168.893,169.022
6,Fish and seafood,0.281,310.959,312.401,312.957,313.669,312.061,312.965,313.251,319.479,324.598,329.386,328.899,332.906,334.283
7,Fresh fish and seafood(5),0.146,193.648,194.120,195.613,195.868,196.115,199.903,198.501,202.711,206.552,209.217,210.898,214.314,214.998
7,Processed fish and seafood(5),0.135,154.985,156.046,155.400,155.907,154.100,151.953,153.368,156.205,158.230,160.872,159.032,160.287,161.113
8,Shelf stable fish and seafood(6),,223.707,227.387,225.868,227.216,225.370,226.356,225.442,227.413,228.376,228.117,222.446,222.761,224.778
8,Frozen fish and seafood(6),,323.980,324.164,321.603,323.479,319.101,311.110,317.078,323.844,329.809,339.387,334.950,341.541,338.805
5,Eggs,0.102,205.772,208.656,210.186,210.553,218.460,222.874,223.098,217.353,216.428,217.736,221.234,228.603,229.610
3,Dairy and related products,0.753,229.155,229.503,231.740,231.546,230.452,229.249,230.170,230.380,230.152,231.233,230.145,231.973,233.168
4,Milk(5),0.209,149.081,150.175,153.549,151.392,149.192,148.091,150.968,153.593,153.599,155.057,153.989,154.830,155.562
5,Fresh whole milk(6),,214.942,216.523,222.156,219.140,214.775,213.568,218.456,223.276,222.941,226.418,224.425,226.314,227.465
5,Fresh milk other than whole(5)(6),,153.055,153.578,157.096,155.161,154.017,152.276,155.220,157.196,157.351,158.394,157.608,158.272,158.922
4,Cheese and related products(4),0.250,243.122,242.399,243.450,244.437,243.240,242.959,240.069,239.858,240.100,238.678,238.682,240.622,241.554
4,Ice cream and related products,0.105,229.210,231.552,233.089,234.615,232.630,231.814,232.323,227.303,228.197,230.311,229.474,232.587,237.133
4,Other dairy and related products(4)(5),0.189,151.870,151.340,152.089,152.552,153.820,152.390,153.920,153.610,152.469,154.148,152.751,153.872,153.767
3,Fruits and vegetables,1.310,309.071,306.311,306.506,309.954,309.993,311.168,314.973,315.748,315.211,312.875,313.672,315.428,318.316
4,Fresh fruits and vegetables,1.029,357.967,354.721,354.288,358.851,358.712,360.010,364.631,365.130,364.417,360.733,362.018,364.607,368.158
5,Fresh fruits,0.537,364.954,361.413,358.011,364.882,369.444,371.974,382.464,382.112,378.790,371.970,372.189,376.624,379.316
6,Apples,0.078,322.554,314.608,315.538,322.045,330.695,333.649,337.240,338.874,347.403,350.021,352.329,351.704,344.025
6,Bananas(4),0.072,190.704,191.855,189.622,196.779,193.050,193.220,195.866,195.818,194.976,195.118,192.983,193.775,196.264
6,Citrus fruits(5),0.144,266.773,262.747,248.506,251.847,254.399,255.056,264.864,272.299,280.602,272.548,277.503,275.809,276.628
7,"Oranges, including tangerines(6)",,532.450,522.272,485.496,493.088,495.755,484.966,503.775,523.343,544.102,530.507,536.901,538.041,543.454
6,Other fresh fruits(5),0.244,121.972,121.144,122.771,124.788,127.159,128.459,132.572,130.169,124.752,121.615,120.603,124.195,126.326
5,Fresh vegetables,0.492,349.157,346.225,348.809,351.007,346.094,346.135,344.771,346.131,348.074,347.591,349.953,350.656,355.061
6,Potatoes,0.079,380.061,351.417,350.759,375.454,370.123,377.550,373.440,376.478,383.240,385.554,390.908,389.753,386.414
6,Lettuce(4),0.062,355.621,366.381,364.916,350.892,344.154,341.387,340.343,337.942,339.031,344.304,340.784,348.185,353.471
6,Tomatoes,0.078,353.223,351.226,352.360,356.149,349.198,346.026,347.055,340.697,348.261,346.862,351.451,351.828,353.868
6,Other fresh vegetables,0.273,342.451,342.770,347.528,347.150,343.270,342.940,341.527,345.473,344.814,342.577,344.888,344.669,351.578
5,Processed fruits and vegetables(5),0.281,162.335,160.970,162.177,163.033,163.360,164.085,165.723,166.799,166.668,167.082,166.896,166.887,168.057
6,Canned fruits and vegetables(5),0.147,168.440,168.186,169.633,170.968,172.091,172.353,173.585,175.530,175.443,176.602,175.917,175.253,177.396
7,Canned fruits(5)(6),,163.602,163.957,164.768,163.634,164.936,165.409,166.879,166.312,166.963,167.906,166.505,165.891,168.294
7,Canned vegetables(5)(6),,178.994,178.236,179.874,183.386,183.597,183.671,185.105,188.324,187.759,189.303,189.327,188.528,190.816
6,Frozen fruits and vegetables(5),0.084,152.444,150.120,149.923,151.110,150.055,150.927,153.594,153.741,153.792,153.961,154.547,153.885,154.844
7,Frozen vegetables(6),,208.844,205.802,204.398,206.418,204.053,204.147,208.365,208.814,209.006,208.685,209.327,206.132,208.218
6,Other processed fruits and vegetables including dried(5),0.050,159.257,156.596,159.609,158.548,159.154,160.861,161.741,162.072,161.500,160.302,160.111,163.051,161.913
7,"Dried beans, peas, and lentils(4)(5)(6)",,189.019,187.216,191.080,189.956,189.961,195.309,197.753,196.760,195.842,196.909,196.396,199.745,197.269
3,Nonalcoholic beverages and beverage materials,0.918,178.400,175.869,177.539,179.789,180.202,180.018,179.570,177.814,179.527,180.136,182.277,184.490,186.387
4,Juices and nonalcoholic drinks(5),0.659,140.997,139.034,140.185,142.196,142.742,142.507,141.888,139.730,141.072,142.052,143.661,145.927,147.340
5,Carbonated drinks,0.281,182.262,176.557,178.391,184.601,185.775,185.054,182.201,178.359,181.765,182.751,186.827,190.118,191.728
5,Frozen noncarbonated juices and drinks(4)(5),0.006,178.122,176.461,179.249,179.217,180.148,176.851,179.899,180.464,180.279,180.284,177.113,179.914,183.574
5,Nonfrozen noncarbonated juices and drinks(5),0.371,125.919,125.795,126.628,126.587,126.831,126.871,127.336,125.915,126.271,127.306,127.769,129.607,130.960
4,Beverage materials including coffee and tea(5),0.260,118.045,116.288,117.752,118.748,118.556,118.624,118.888,119.356,120.516,119.861,121.455,121.825,123.263
5,Coffee,0.168,196.077,190.378,193.029,195.758,195.501,195.236,196.026,197.575,198.558,196.243,199.521,201.807,205.241
6,Roasted coffee(6),,204.384,199.051,201.162,204.327,204.570,204.795,204.175,207.480,207.686,206.113,208.909,211.207,215.793
6,Instant coffee(4)(6),,189.437,179.647,187.177,186.071,183.787,186.516,190.297,184.858,189.390,184.589,189.495,192.446,191.710
5,Other beverage materials including tea(4)(5),0.092,131.207,132.682,134.040,133.823,133.531,134.073,133.933,133.502,135.956,136.740,137.734,136.086,136.396
3,Other food at home,1.929,218.758,217.310,218.534,217.824,219.110,219.263,220.143,219.664,220.221,222.116,222.863,225.141,227.701
4,Sugar and sweets(4),0.261,229.884,229.668,230.721,232.560,231.515,232.477,232.004,233.269,232.923,233.429,234.130,234.881,235.383
5,Sugar and sugar substitutes,0.037,204.319,204.892,203.687,205.700,207.205,207.391,208.744,209.344,208.719,209.563,208.501,209.516,214.923
5,Candy and chewing gum(4)(5),0.172,156.512,156.482,157.659,159.009,157.500,158.202,157.380,158.622,158.704,158.332,159.018,159.102,158.966
5,Other sweets(5),0.052,156.870,155.919,156.252,156.973,157.617,158.478,158.875,158.741,157.609,160.150,160.838,162.599,161.854
4,Fats and oils,0.219,230.279,226.690,228.076,231.620,233.393,232.023,234.797,237.089,236.724,240.931,243.444,247.322,247.859
5,Butter and margarine(5),0.062,209.295,200.173,203.122,206.790,209.978,208.648,207.120,211.912,209.296,212.350,214.385,212.817,214.128
6,Butter(6),,250.060,237.134,238.152,246.297,248.713,249.981,246.396,253.423,249.285,251.269,252.952,247.871,252.322
6,Margarine(6),,307.805,299.163,307.280,301.761,310.701,308.451,309.958,315.847,313.361,316.166,324.354,324.617,322.100
5,Salad dressing(5),0.052,131.286,131.000,132.825,133.404,132.761,131.859,133.272,134.865,134.474,136.617,141.028,141.871,141.447
5,Other fats and oils including peanut butter(5),0.104,158.575,157.903,157.383,160.497,161.965,161.138,165.150,165.215,166.204,169.639,169.646,175.675,176.093
6,Peanut butter(4)(5)(6),,163.536,163.721,169.015,,,,,166.882,167.359,167.774,163.036,167.854,173.364
5,Other foods,1.449,233.772,232.288,233.624,231.763,233.516,233.756,234.685,233.438,234.343,236.318,236.881,239.401,242.853
6,Soups,0.087,253.517,249.037,254.156,246.905,250.762,254.956,256.757,259.186,259.660,259.799,262.246,261.290,261.713
6,Frozen and freeze dried prepared foods,0.253,173.546,173.619,174.222,170.840,171.443,171.334,173.015,172.850,173.802,176.741,177.439,179.325,180.914
6,Snacks(4),0.329,262.196,259.768,260.072,255.377,259.836,261.342,262.018,257.550,260.318,260.017,261.638,265.007,270.643
6,"Spices, seasonings, condiments, sauces",0.284,251.914,248.830,247.243,251.557,253.813,251.738,253.190,252.980,250.568,251.898,252.819,255.573,258.559
7,Salt and other seasonings and spices(5)(6),,156.291,156.383,159.153,160.754,162.408,161.073,160.591,161.153,160.383,161.630,159.855,163.017,163.918
7,"Olives, pickles, relishes(4)(5)(6)",,150.225,149.988,149.458,148.693,151.370,151.107,150.634,147.522,147.929,148.166,149.415,151.029,153.532
7,Sauces and gravies(5)(6),,147.042,144.358,142.269,145.908,146.828,145.174,145.985,145.396,144.037,145.409,145.779,147.513,149.626
7,Other condiments(6),,283.399,276.382,274.267,280.216,282.339,282.061,285.761,286.159,282.128,281.165,288.693,288.987,290.816
6,Baby food(4)(5),0.042,171.910,174.361,172.418,172.794,172.967,172.045,173.891,173.949,174.247,176.483,176.722,180.697,185.450
6,Other miscellaneous foods(5),0.453,137.091,136.555,138.854,137.879,137.999,138.266,138.192,137.457,138.441,140.354,139.888,141.367,143.576
7,Prepared salads(7)(6),,129.262,131.188,133.706,133.529,133.939,131.831,132.451,131.813,128.841,134.053,132.018,136.820,138.107
2,Food away from home(4),6.261,297.893,298.253,299.369,300.382,300.540,300.897,301.819,303.481,305.634,308.023,309.336,310.996,313.592
3,Full service meals and snacks(4)(5),3.145,183.177,183.794,184.314,184.776,185.256,185.703,186.076,187.156,188.743,189.862,191.071,192.203,194.003
3,Limited service meals and snacks(4)(5),2.793,193.708,194.102,195.120,196.386,197.076,198.042,198.990,199.889,201.006,203.027,204.590,205.893,207.453
3,Food at employee sites and schools(4)(5),0.070,176.445,165.329,165.308,157.583,138.337,119.919,119.129,120.565,121.058,121.861,101.164,94.728,96.402
4,Food at elementary and secondary schools(4)(8)(6),,142.994,130.444,130.562,118.831,102.565,85.872,85.045,86.087,,,70.033,62.755,58.952
3,Food from vending machines and mobile vendors(4)(5),0.081,170.598,170.504,170.634,173.716,173.686,173.996,173.986,175.993,180.016,180.591,181.585,181.086,181.046
3,Other food away from home(4)(5),0.172,201.580,201.720,201.855,201.915,202.261,202.670,202.900,204.899,204.966,206.824,207.310,210.067,210.568
,,,,,,,,,,,,,,,
1,Energy,7.322,196.458,194.388,198.155,205.273,213.277,225.861,229.116,235.339,240.720,244.800,246.639,248.228,255.338
2,Energy commodities,4.080,196.835,192.126,198.997,212.676,227.412,252.840,257.289,267.532,273.459,280.040,281.730,283.095,294.326
3,Fuel oil and other fuels,0.169,227.348,233.806,249.564,267.049,289.571,293.642,283.824,285.256,291.703,294.395,292.603,305.233,337.245
4,Fuel oil(4),0.099,202.805,209.579,231.044,243.588,267.613,276.100,267.262,272.990,280.786,282.484,276.557,287.325,322.736
4,"Propane, kerosene, and firewood(9)",0.069,317.369,324.389,331.768,362.200,385.879,381.982,368.431,361.652,366.616,371.761,377.798,396.415,427.579
3,Motor fuel,3.911,193.647,188.544,194.996,208.387,222.667,248.681,253.648,264.135,269.983,276.650,278.461,279.367,289.665
4,Gasoline (all types),3.830,192.792,187.609,193.990,207.406,221.689,247.652,252.603,263.170,268.979,275.656,277.448,278.338,288.501
5,"Gasoline, unleaded regular(6)",,187.358,182.044,188.738,202.401,216.914,242.749,247.490,258.134,263.857,270.409,272.010,272.929,283.437
5,"Gasoline, unleaded midgrade(10)(6)",,215.541,210.889,216.387,228.270,241.454,266.678,272.925,283.235,289.640,296.743,299.298,300.146,309.121
5,"Gasoline, unleaded premium(6)",,214.531,210.715,214.341,225.014,236.510,261.300,267.220,276.355,282.261,289.268,292.146,292.775,300.016
4,Other motor fuels(4)(5),0.081,176.848,176.468,184.103,192.812,203.109,224.236,228.499,232.801,238.688,243.157,245.219,246.590,259.720
2,Energy services,3.242,205.445,205.921,206.758,207.649,209.296,209.623,211.838,214.335,219.425,221.196,223.272,225.160,228.484
3,Electricity,2.469,215.570,213.787,214.375,215.242,216.998,216.528,218.627,220.948,226.562,227.672,229.088,229.831,229.641
3,Utility (piped) gas service,0.773,172.255,179.226,180.767,181.709,183.006,185.624,188.129,191.083,194.563,198.207,202.140,207.290,220.668
,,,,,,,,,,,,,,,
1,All items less food and energy,78.701,269.328,269.473,269.226,269.755,270.696,271.713,273.968,275.893,278.218,279.146,279.507,279.884,281.617
2,Commodities less food and energy commodities,20.686,146.261,145.750,145.317,145.973,146.532,147.160,149.915,152.217,155.284,155.873,156.581,156.720,158.550
3,Household furnishings and supplies(11),3.765,92.574,92.932,92.714,92.871,93.003,93.353,94.101,94.990,95.247,95.108,95.886,97.190,98.227
4,Window and floor coverings and other linens(4)(5),0.286,56.977,55.374,54.127,55.777,56.058,55.862,56.234,56.516,57.548,56.752,58.079,60.319,59.744
5,Floor coverings(4)(5),0.062,112.178,111.684,110.208,110.759,111.802,110.960,110.770,113.723,117.014,118.122,114.952,116.042,116.608
5,Window coverings(4)(5),0.061,66.408,64.727,63.979,63.320,62.571,61.922,61.620,63.258,62.372,62.236,72.954,70.482,71.747
5,Other linens(4)(5),0.164,42.960,41.311,40.055,42.321,42.718,42.740,43.334,42.875,43.966,42.778,42.438,45.842,44.691
4,Furniture and bedding(4),0.990,114.508,115.428,115.696,115.163,115.123,117.165,119.675,121.954,122.793,122.111,124.877,127.817,128.263
5,Bedroom furniture(4),0.339,127.332,129.517,129.718,128.341,126.493,128.411,130.640,132.865,135.015,137.127,138.427,140.440,142.313
5,"Living room, kitchen, and dining room furniture(4)(5)",0.490,89.175,89.242,89.432,89.424,89.647,91.781,94.389,96.370,96.644,94.781,98.347,101.761,100.898
5,Other furniture(5),0.152,72.475,73.221,73.562,73.185,74.770,75.152,75.804,77.146,77.136,76.417,76.847,77.513,79.093
4,Appliances(5),0.224,81.175,81.414,81.127,81.349,82.882,83.385,83.584,83.947,84.321,84.317,85.334,86.659,86.523
5,Major appliances(5),0.080,93.575,93.690,92.412,94.121,94.223,95.704,96.533,96.510,98.296,99.137,99.745,100.129,99.205
6,Laundry equipment(4)(6),,99.316,103.148,103.948,109.401,109.057,114.876,115.967,115.088,119.139,118.116,115.021,116.612,114.162
5,Other appliances(4)(5),0.140,68.064,68.323,68.473,68.065,70.030,70.084,70.008,70.495,70.247,69.889,70.976,72.564,72.776
4,Other household equipment and furnishings(4)(5),0.520,50.188,50.250,50.100,51.230,51.874,51.773,51.828,51.860,51.467,51.014,50.923,51.327,51.919
5,"Clocks, lamps, and decorator items(4)",0.303,36.657,37.049,36.818,37.626,37.864,37.683,37.922,37.844,37.515,37.126,37.133,37.455,38.117
5,Indoor plants and flowers(12),0.090,134.676,133.338,136.451,139.000,143.157,143.447,138.977,140.287,140.197,138.757,139.260,138.410,140.538
5,Dishes and flatware(4)(5),0.050,45.748,46.648,45.292,46.638,47.311,47.794,47.268,46.977,47.863,46.740,44.596,45.901,45.133
5,Nonelectric cookware and tableware(4)(5),0.078,79.704,76.920,76.700,78.602,79.846,79.564,81.764,82.218,79.868,80.607,81.670,82.344,82.447
4,"Tools, hardware, outdoor equipment and supplies(5)",0.868,93.251,93.573,93.749,92.441,93.046,93.636,93.601,94.921,95.255,95.124,95.479,96.124,99.181
5,"Tools, hardware and supplies(4)(5)",0.246,102.396,100.491,100.602,100.718,101.634,103.275,102.811,103.052,104.002,104.046,106.166,107.238,106.507
5,Outdoor equipment and supplies(5),0.437,88.932,90.408,90.624,88.580,89.001,89.106,89.259,91.120,91.187,90.986,90.458,90.935,95.905
4,Housekeeping supplies(4),0.877,198.021,200.348,199.451,199.947,197.246,195.666,197.266,197.781,197.461,199.611,199.041,199.900,201.313
5,Household cleaning products(4)(5),0.347,126.666,126.850,128.018,128.551,127.847,125.942,126.442,126.961,125.977,127.031,128.008,127.449,128.109
5,Household paper products(4)(5),0.225,184.480,191.923,192.163,193.185,192.919,191.804,191.563,192.733,193.138,194.330,192.027,194.556,196.441
5,Miscellaneous household products(4)(5),0.305,122.582,123.008,120.091,119.910,116.109,115.927,118.273,118.071,118.388,120.436,119.454,120.384,121.260
3,Apparel,2.727,119.172,116.602,114.434,117.785,119.998,120.746,120.656,120.951,120.324,119.078,121.194,123.406,124.323
4,Men's and boys' apparel,0.690,112.383,110.649,108.861,113.504,115.138,115.850,115.006,114.749,113.204,113.589,116.610,118.796,119.422
5,Men's apparel,0.555,114.356,112.646,110.482,115.305,117.781,117.403,116.578,116.911,115.050,115.653,119.797,121.530,121.596
6,"Men's suits, sport coats, and outerwear",0.095,89.434,86.356,85.168,86.658,90.675,87.996,85.788,86.992,85.494,86.959,95.785,96.970,97.734
6,"Men's underwear, nightwear, swimwear, and accessories(4)",0.162,164.311,160.343,156.094,156.571,159.987,161.254,161.924,163.403,161.420,163.733,167.846,168.872,170.986
6,Men's shirts and sweaters(5),0.157,69.663,69.278,68.032,70.151,71.072,71.577,69.596,68.169,67.680,67.780,71.766,74.842,74.598
6,Men's pants and shorts,0.135,114.354,114.246,112.516,126.647,128.495,127.251,129.009,130.741,127.070,126.054,124.057,123.337,121.520
5,Boys' apparel,0.135,102.738,100.962,100.567,104.455,103.015,107.644,106.748,104.367,104.000,103.592,102.497,106.268,108.897
4,Women's and girls' apparel,1.092,101.854,97.974,95.581,98.301,101.743,101.877,101.321,101.288,101.006,98.539,99.943,102.298,103.960
5,Women's apparel,0.899,102.623,98.269,95.138,97.492,101.789,102.772,102.048,101.668,101.689,99.454,100.925,102.986,105.143
6,Women's outerwear,0.066,99.713,94.160,90.811,90.642,94.216,93.535,90.855,92.265,94.113,91.264,94.009,101.866,105.178
6,Women's dresses,0.100,100.720,97.420,95.022,90.881,93.886,101.000,101.292,98.632,99.101,98.220,101.970,108.798,110.018
6,Women's suits and separates(5),0.453,71.298,66.576,64.654,67.981,71.908,71.297,70.107,69.820,69.900,67.533,67.877,69.145,71.470
6,"Women's underwear, nightwear, swimwear, and accessories(5)",0.271,99.818,99.802,95.971,96.923,99.315,101.746,102.892,102.941,102.200,101.755,103.760,103.043,103.083
5,Girls' apparel,0.193,97.652,95.913,96.825,101.155,100.765,97.114,97.308,98.827,97.195,93.713,94.809,98.452,97.898
4,Footwear,0.652,134.374,134.281,132.314,133.687,135.095,136.288,137.479,138.385,137.910,136.707,138.975,141.066,141.310
5,Men's footwear(4),0.230,139.258,137.779,135.585,140.705,141.815,142.743,144.842,144.981,144.216,142.475,143.982,146.376,146.220
5,Boys' and girls' footwear,0.136,150.983,156.981,153.400,152.742,151.066,150.570,155.786,158.131,156.941,154.073,155.985,161.778,162.369
5,Women's footwear,0.286,122.262,120.861,119.693,119.186,121.928,123.915,122.947,123.833,123.835,123.653,126.541,126.999,127.389
4,Infants' and toddlers' apparel,0.126,109.933,111.688,109.706,108.665,108.827,107.753,110.591,111.481,111.899,111.639,113.446,117.040,118.341
4,Jewelry and watches(9),0.166,173.682,166.018,165.197,179.725,175.144,182.651,182.968,186.617,186.471,189.214,191.241,188.399,184.240
5,Watches(4)(9),0.038,144.976,143.649,146.158,146.565,146.121,149.586,153.380,151.157,153.739,152.476,151.745,148.287,147.534
5,Jewelry(9),0.128,170.613,161.160,159.141,177.861,172.078,180.516,179.488,185.072,183.902,187.945,190.855,188.476,183.358
3,Transportation commodities less motor fuel(11),7.787,109.567,109.020,109.051,108.805,109.019,109.991,114.538,118.625,125.324,126.781,126.616,125.181,127.614
4,New vehicles,3.834,147.956,148.063,149.091,149.377,149.515,149.321,149.892,152.143,154.847,157.203,158.652,160.244,162.527
5,New cars and trucks(5)(6),,102.535,102.597,103.313,103.526,103.620,103.493,103.888,105.447,107.327,108.955,109.967,111.078,112.672
6,New cars(6),,144.317,144.281,145.325,145.725,145.991,145.372,145.466,147.724,150.329,152.617,154.335,155.707,157.550
6,New trucks(13)(6),,157.645,157.835,158.850,159.136,159.220,159.208,160.137,162.498,165.367,167.816,169.234,171.031,173.700
4,Used cars and trucks,3.291,154.381,152.324,150.891,149.659,150.221,153.873,168.647,179.532,198.855,200.425,197.535,190.207,195.213
4,Motor vehicle parts and equipment(4),0.399,147.723,147.439,148.363,149.198,149.324,149.147,150.454,151.777,152.863,154.484,157.120,158.454,160.727
5,Tires(4),0.255,125.430,124.884,125.806,127.029,127.274,126.044,127.971,129.326,130.529,131.545,134.259,135.377,137.005
5,Vehicle accessories other than tires(4)(5),0.144,178.541,178.950,179.729,179.466,179.277,181.733,181.294,182.318,182.937,185.785,187.794,189.444,192.939
6,Vehicle parts and equipment other than tires(4)(6),,169.711,169.730,169.492,169.872,168.523,172.593,172.714,173.211,172.666,173.964,175.096,176.789,179.351
6,"Motor oil, coolant, and fluids(4)(6)",,382.656,385.426,390.184,389.111,391.588,393.402,388.419,393.733,398.422,404.882,420.160,417.053,425.765
3,Medical care commodities(4),1.496,380.371,378.810,377.921,377.546,374.905,375.111,377.284,377.191,375.697,376.323,375.685,376.842,379.003
4,Medicinal drugs(11),1.431,124.703,124.469,124.176,123.862,122.935,123.029,123.804,123.705,123.225,123.433,123.164,123.507,124.232
